# Summary generated on 2025-10-24 23:39:13.820411+00:00 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;   IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No;  code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; -----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20250318170753_bOOZ2; 2460753.213810889516; 2025-03-18 17:07:53.260854;    -1;   ...; 358.001242; 248.045158; 247.71779;  0.3269; -21.11171;  0.9501; 249.28324;  0.4422;  +0.73783;  0.8949;  64.30924;  2.8821; 234.97488;  0.3116;  +1.27955;  1.4631;  36.97600;  2.9345;    2.136527; 14.5981;   0.705298;  0.1590; 178.474621;  1.4504; 263.559618;  28.5522; 357.963264;  28.6666; 261.522882; 11.1481;  -1.515750;  1.5339;   0.629638;  0.0480; 276.404713; 11.1514; 345.616353;     nan;    3.643416; 29.2125;   0.315603;  0.1710;   3.122938;     nan;   1.527736;  1.4259; 248.45228;  0.3438; -21.27079;  0.9509;   1.49647;  1.1570;  75.31226;  0.9515;  65.25939;  2.8426;  64.06235;  2.4396;   -35.954034;  0.0020;   174.560730;  0.0005; 114.3250;    0.34;   -35.989585;  0.0026;   174.559591;  0.0006;  99.0369;    0.41;     0.24;  -0.22; 107.3754; 0.455; 1.40e-05; 25.52;        58.21;   True;   True;    3; NZ002Q,NZ004U,NZ005F
20250318170848_np0Ny; 2460753.214450815227; 2025-03-18 17:08:48.550436;    -1;   ...; 358.001879; 244.072919; 247.76621;  0.5568; -47.11720;  0.5028; 253.50186;  0.3251; -24.94482;  0.5531;  63.07196;  0.7113; 239.48706;  0.4918; -42.55884;  0.4850;  39.33296;  0.9015;    3.769196; 1.4e+02;   0.773457;  0.0712; 133.740055;  0.5845;  47.624290;   1.9096; 178.000976;   0.0000; 225.625266;  1.9096;  32.257732;  0.8991;   0.853886;  0.0057; 312.377557;  1.9096; 355.713971;     nan;    6.684505; 2.9e+02;   0.134689;  0.0397;   7.317684;     nan;   0.634834;  0.4415; 248.63695;  0.5507; -47.13520;  0.5026; 126.65775;  8.4380;  86.13090;  0.2373;  64.05710;  0.7009;  60.69628;  0.7326;   -44.913676;  0.0005;   170.357479;  0.0005; 112.3169;    0.08;   -44.909270;  0.0008;   170.349107;  0.0007; 100.0011;    0.11;     0.20;  +0.44; 104.9206; 0.601; 9.58e-06; 32.57;        79.70;   True;   True;    2; NZ0009,NZ004R
20250318170857_icNdN; 2460753.214551240206; 2025-03-18 17:08:57.227154;    -1;   ...; 358.001979; 249.071151; 235.92644;  0.2039; -29.65195;  0.2509; 240.40444;  0.1407;  -9.64777;  0.2743;  65.19396;  0.2461; 220.72873;  0.3240; -15.32923;  0.4454;  41.33805;  0.1671;   12.051989;  5.6921;   0.959747;  0.0073; 158.001133;  0.7073;  92.683502;   0.7993; 178.001939;   0.0001; 270.685441;  0.7992;  21.973485;  0.6939;   0.485124;  0.0052; 267.318974;  0.7994; 359.070591;  0.2259;   23.618855; 11.3806;   0.023557;  0.0057;  41.839717; 40.3738;  -0.360767;  0.0902; 236.77688;  0.2001; -29.81052;  0.2507; 295.61737;  1.3299;  78.17651;  0.1104;  66.05809;  0.2426;  64.51670;  0.1973;   -35.561198;  0.0004;   175.325189;  0.0003; 108.6492;    0.04;   -35.574367;  0.0004;   175.358779;  0.0002;  92.2715;    0.03;     0.31;  -2.43;  95.8570; 0.781; 1.54e-04; 49.60;        67.91;   True;   True;    8; NZ001G,NZ001W,NZ002H,NZ0036,NZ003H,NZ003W,NZ004U,NZ005F
20250318170939_Ny8BG; 2460753.215042100754; 2025-03-18 17:09:39.637505;    -1;   ...; 358.002467; 241.638481; 265.09150;  1.2814; -60.19193;  0.8689; 266.95484;  0.7423; -36.80611;  0.8951;  61.03062;  0.5825; 266.77667;  1.9359; -62.60244;  0.9611;  41.18606;  0.8754;   10.296990; 76.0774;   0.903340;  0.0816; 117.392210;  0.9821;   1.185293;   1.7367; 178.001095;   0.0000; 179.186388;  1.7367;   1.052380;  1.5564;   0.995305;  0.0005; 358.816325;  1.7367; 359.974215;     nan;   19.598676; 1.5e+02;   0.029829;  0.0269;  33.041981;     nan;  -0.049745;  0.4242; 265.93800;  1.2480; -60.01437;  0.8684; 140.96696;  3.2012;  70.93923;  0.2185;  62.09632;  0.5731;  60.61655;  0.3994;   -47.236889;  0.0012;   167.709767;  0.0020; 109.1759;    0.10;   -47.192317;  0.0014;   167.656752;  0.0021;  90.4577;    0.06;     0.33;  -2.48;  93.0620; 0.861; 2.09e-04; 25.57;        44.46;   True;   True;    2; NZ000L,NZ004R
20250318171028_fbmEl; 2460753.215607774444; 2025-03-18 17:10:28.511712;    -1;   ...; 358.003029; 243.461083; 226.38259;  0.1211; -43.38500;  0.0923; 236.44766;  0.0894; -24.89454;  0.0984;  56.69397;  0.0239; 205.77056;  0.1567; -38.63290;  0.1387;  38.22945;  0.0360;    2.764041;  0.0232;   0.831604;  0.0017; 120.239772;  0.2028;  99.941007;   0.2025; 178.001677;   0.0000; 277.942684;  0.2025;  58.315635;  0.2328;   0.465453;  0.0018; 260.060589;  0.2025; 350.737069;  0.1314;    5.062629;  0.0466;   0.214480;  0.0028;   4.595336;  0.0575;   1.475180;  0.0145; 227.38340;  0.1200; -43.57712;  0.0918; 276.14603;  0.4731;  78.35843;  0.0801;  57.70271;  0.0234;  56.01440;  0.0282;   -45.983546;  0.0001;   169.333187;  0.0002; 105.3241;    0.02;   -45.986103;  0.0001;   169.367345;  0.0001;  92.2225;    0.01;     0.29;  -0.16;  96.6483; 0.662; 2.73e-05; 83.93;        25.29;   True;   True;    3; NZ0003,NZ000M,NZ0029
20250318171113_1yo3r; 2460753.216134003364; 2025-03-18 17:11:13.977891;    -1;   ...; 358.003552; 250.250739; 144.29075;  0.2151; -17.08821;  0.9121; 153.02738;  0.5744; -29.43969;  0.7885;  14.56069;  0.1219; 105.33815;  0.1571; -10.96782;  0.3390;  37.62853;  0.1056;    2.420313;  0.0556;   0.634444;  0.0078;  11.476580;  0.3594;  44.473762;   0.4428; 177.996108;   0.0002; 222.469871;  0.4429;   8.012727;  0.3082;   0.884760;  0.0018; 315.531474;  0.4429; 351.665182;  0.3355;    3.955867;  0.1108;   0.261756;  0.0084;   3.765374;  0.1317;   3.183427;  0.0432; 153.50561;  0.1231; -24.64933;  0.8086; 246.48199;  0.5856;  10.14925;  0.5570;  17.98162;  0.0968;  17.85803;  0.0769;   -38.518722;  0.0010;   175.927750;  0.0001;  87.5400;    0.10;   -38.457597;  0.0008;   176.105919;  0.0004;  84.4822;    0.10;     0.98;  +2.06;  85.6155; 0.629; 1.01e-04; 12.39;        59.13;   True;   True;    2; NZ004B,NZ0059
20250318171305_huPQe; 2460753.217419993132; 2025-03-18 17:13:05.087407;    -1;   ...; 358.004831; 251.086550; 280.28805;  0.1283;  -0.31596;  0.4077; 281.16435;  0.1397; +22.72392;  0.4076;  63.12727;  0.2584; 295.16507;  0.3447; +39.00150;  0.7312;  38.74382;  0.1111;    3.153053;  0.0900;   0.731568;  0.0083; 137.690942;  0.7983; 130.211574;   0.4678; 358.001401;   0.0000; 128.212974;  0.4678;  30.933697;  0.6636;   0.846380;  0.0026;  49.786953;  0.4678;   5.886485;  0.3095;    5.459727;  0.1802;   0.176038;  0.0082;   5.598834;  0.2360;   0.865665;  0.0618; 280.70477;  0.1253;  -0.59425;  0.4008;  43.59610;  0.3379;  44.22008;  0.3330;  64.27930;  0.2545;  62.63458;  0.2794;   -37.340518;  0.0002;   176.299265;  0.0004; 111.5064;    0.10;   -37.411678;  0.0002;   176.214302;  0.0002; 100.7307;    0.05;     0.24;  -0.28; 102.9700; 0.792; 1.74e-05; 89.58;        74.08;   True;   True;    5; NZ000Y,NZ000Z,NZ001H,NZ002R,NZ003E
20250318171610_MbHWv; 2460753.219566505868; 2025-03-18 17:16:10.546107;    -1;   ...; 358.006965; 220.210586; 280.91828;  0.3760; -63.90804;  0.0749; 276.30933;  0.2170; -40.70927;  0.0770;  57.67461;  0.0298; 294.99970;  0.6350; -68.28214;  0.1048;  40.49336;  0.0380;    6.214383;  0.1280;   0.844760;  0.0034; 109.540530;  0.1187; 338.861066;   0.4901; 178.005573;   0.0000; 156.866639;  0.4901; -19.868357;  0.4637;   0.964718;  0.0014;  21.140208;  0.4901;   0.972224;  0.0352;   11.464049;  0.2563;   0.063622;  0.0021;  15.491650;  0.4732;   0.446270;  0.0167; 280.96432;  0.3659; -63.53548;  0.0741; 146.62545;  0.1085;  45.02209;  0.1628;  58.87850;  0.0293;  57.50201;  0.0191;   -36.487072;  0.0002;   144.648410;  0.0002; 109.1305;    0.04;   -36.366178;  0.0002;   144.549911;  0.0004;  92.8439;    0.03;     0.41;  -0.91;  95.8739; 0.814; 6.81e-05; 87.41;        56.04;   True;   True;    3; AU000R,AU0047,AU004L
20250318171706_eo0fB; 2460753.220213552006; 2025-03-18 17:17:06.450893;    -1;   ...; 358.007608; 254.040023; 293.27574;  1.1853; -43.93827;  1.5617; 287.86350;  1.2290; -21.93331;  1.3759;  56.84289;  2.6815; 311.07177;  0.2812; -38.24234;  3.1784;  34.30561;  2.5057;    1.464971; 24.0927;   0.600685;  0.1317; 132.829941;  3.4469; 264.335123;   5.9377; 178.006148;   0.0001;  82.341271;  5.9378; -46.869051;  3.9460;   0.584984;  0.0115;  95.666207;  5.9375;  28.643527;     nan;    2.344958; 48.1883;   0.555854;  0.1575;   1.773145;     nan;   2.975740;  1.2186; 293.71801;  1.1776; -43.72290;  1.5443; 114.80899;  2.6660;  59.44727;  1.0860;  58.08821;  2.6393;  55.48732;  2.4782;   -37.263707;  0.0007;   178.244168;  0.0041; 107.1801;    0.22;   -37.239836;  0.0008;   178.179568;  0.0033;  96.3322;    0.16;     0.23;  -1.42; 100.1028; 0.652; 6.83e-05; 13.07;        43.54;   True;   True;    3; NZ003N,NZ0042,NZ004N
20250318171728_E4up7; 2460753.220469696447; 2025-03-18 17:17:28.581773;    -1;   ...; 358.007864; 252.918916; 257.96524;  0.2813; +14.47009;  0.3203; 255.29840;  0.3844; +37.29562;  0.2902;  60.65063;  0.0492; 237.45697;  1.0766; +61.53489;  0.2693;  41.80086;  0.1512;   25.257476; 2.4e+02;   0.962947;  0.0134; 115.028634;  0.4890; 208.590968;   0.4630; 358.005038;   0.0000; 206.596006;  0.4630; -25.697234;  0.5113;   0.935861;  0.0024; 331.407906;  0.4630; 359.848257;     nan;   49.579092; 4.7e+02;   0.007765;  0.0021; 126.936223;     nan;  -0.296668;  0.0668; 258.56397;  0.2791; +13.97325;  0.3162;   6.91459;  0.3676;  37.54439;  0.2936;  61.69034;  0.0484;  61.44033;  0.0353;   -38.237295;  0.0006;   177.027323;  0.0010; 111.6615;    0.09;   -38.459684;  0.0005;   176.993017;  0.0011;  92.3372;    0.08;     0.57;  -2.47;  98.0883; 0.702; 3.34e-04; 18.23;        79.18;   True;   True;    6; NZ000Y,NZ000Z,NZ003Y,NZ004B,NZ004T,NZ0059
